Query	Matching Strain	Query Coverage	Percent ID	Identities	Alignment Length	Query Start	Query End	Subject Start	Subject End	Query Length	Subject Length	e-value
La_Habana_test_00007 Matrix protein 1	gi|253735533|emb|FN401576.2| Influenza A virus (A/Regensburg/D6/2009(H1N1)) M1 gene for matrix protein 1 and M2 gene for matrix protein 2, segment 7, genomic RNA	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00007 Matrix protein 1	gi|379698815|dbj|AB620210.1| Influenza A virus (A/swine/Saraburi/NIAH116627-24/2009(H1N1)) M2, M1 genes for matrix protein 2, matrix protein 1, complete cds	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00007 Matrix protein 1	gi|381138061|gb|CY110870.1| Influenza A virus (A/Korea/01-1-4/2009(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00007 Matrix protein 1	gi|381138068|gb|CY110873.1| Influenza A virus (A/Korea/01-10-3/2009(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00007 Matrix protein 1	gi|381138075|gb|CY110876.1| Influenza A virus (A/Korea/01-13-4/2009(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00007 Matrix protein 1	gi|381138082|gb|CY110879.1| Influenza A virus (A/Korea/01-17-3/2009(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	100.0	98.81422924901186	750	759	1	759	1	759	759	759	0.0
La_Habana_test_00008 Non-structural protein 1	gi|347298886|emb|HE584752.1| Influenza A virus (A/swine/Holguin/121/2010(H1N1)) segment 8, complete genome	100.0	100.0	645	645	1	645	16	660	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|347298904|emb|HE584760.1| Influenza A virus (A/swine/La Habana/130/2010(H1N1)) segment 8, complete genome	100.0	100.0	645	645	1	645	16	660	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|343773406|emb|HE582007.1| Influenza A virus (A/swine/Villa Clara/84/2010(H1N1)) NS1 gene for nonstructural protein 1 and NS2 gene for nonstructural protein 2, genomic RNA	100.0	99.84496124031008	644	645	1	645	16	660	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|251748185|gb|GQ351294.1| Influenza A virus (A/Italy/85/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	98.29457364341086	634	645	1	645	17	661	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|254927785|gb|CY043255.1| Influenza A virus (A/New York/3545/2009(H1N1)) segment 8, complete sequence	100.0	98.29457364341086	634	645	1	645	18	662	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|262188808|gb|GU136011.1| Influenza A virus (A/Myanmar/JP90/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	98.29457364341086	634	645	1	645	16	660	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|262333037|gb|CY049671.1| Influenza A virus (A/Singapore/GP2687/2009(H1N1)) segment 8 sequence	100.0	98.29457364341086	634	645	1	645	5	649	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|268635576|gb|CY051627.1| Influenza A virus (A/New York/4607/2009(H1N1)) segment 8, complete sequence	100.0	98.29457364341086	634	645	1	645	22	666	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|272834203|gb|CY052467.1| Influenza A virus (A/Texas/45121606/2009(H1N1)) segment 8, complete sequence	100.0	98.29457364341086	634	645	1	645	22	666	645	645	0.0
La_Habana_test_00008 Non-structural protein 1	gi|272866448|gb|CY052723.1| Influenza A virus (A/Texas/45091402/2009(H1N1)) segment 8, complete sequence	100.0	98.29457364341086	634	645	1	645	22	666	645	645	0.0
La_Habana_test_00009 Nuclear export protein	gi|343773406|emb|HE582007.1| Influenza A virus (A/swine/Villa Clara/84/2010(H1N1)) NS1 gene for nonstructural protein 1 and NS2 gene for nonstructural protein 2, genomic RNA	100.0	100.0	219	219	1	219	620	838	219	219	9.73396e-112
La_Habana_test_00009 Nuclear export protein	gi|347298886|emb|HE584752.1| Influenza A virus (A/swine/Holguin/121/2010(H1N1)) segment 8, complete genome	100.0	100.0	219	219	1	219	620	838	219	219	9.73396e-112
La_Habana_test_00009 Nuclear export protein	gi|347298904|emb|HE584760.1| Influenza A virus (A/swine/La Habana/130/2010(H1N1)) segment 8, complete genome	100.0	100.0	219	219	1	219	620	838	219	219	9.73396e-112
La_Habana_test_00009 Nuclear export protein	gi|325111455|gb|CY086892.1| Influenza A virus (A/swine/North Carolina/226124/2010(H1N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	95.89041095890411	210	219	1	219	620	838	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|325111474|gb|CY086900.1| Influenza A virus (A/swine/North Carolina/226125/2010(H1N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	95.89041095890411	210	219	1	219	620	838	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|325111493|gb|CY086908.1| Influenza A virus (A/swine/North Carolina/226126/2010(H1N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	95.89041095890411	210	219	1	219	620	838	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|255735001|gb|GQ465720.1| Influenza A virus (A/Canada-SK/RV2486/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	100.0	95.89041095890411	210	219	1	219	631	849	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|291620596|gb|CY058184.1| Influenza A virus (A/Managua/3189.01/2009(H1N1)) segment 8, complete sequence	100.0	95.89041095890411	210	219	1	219	626	844	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|291620650|gb|CY058208.1| Influenza A virus (A/Managua/791.03/2009(H1N1)) segment 8, complete sequence	100.0	95.89041095890411	210	219	1	219	626	844	219	219	9.94276e-97
La_Habana_test_00009 Nuclear export protein	gi|291620704|gb|CY058232.1| Influenza A virus (A/Managua/5363.02/2009(H1N1)) segment 8, complete sequence	100.0	95.89041095890411	210	219	1	219	626	844	219	219	9.94276e-97
