Query	Strain	SubjStart	SubjEnd	Identities	QueryCoverage	PercentID	Length	e-value
HE584757.1	gi|347298897|emb|HE584757.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_5,_complete_genome	1	1497	1497	100.0	100.0	1497	0.0
HE584757.1	gi|347360875|emb|HE589467.1|_Influenza_A_virus_(A/swine/Pinar_del_Rio/3/2010(H1N1))_segment_5_nucleocapsid_protein_(NP)_gene,_complete_cds	1	1497	1497	100.0	100.0	1497	0.0
HE584757.1	gi|525339871|gb|CY147718.1|_Influenza_A_virus_(A/Mexico/24024/2009(H1N1))_nucleocapsid_protein_(NP)_gene,_complete_cds	34	1530	1482	100.0	98.99799599198397	1497	0.0
HE584757.1	gi|358434032|dbj|HV513082.1|_WO_2011093217-A/2:_Anti-Pandemic_(H1N1)_2009_antibody_and_immunoassay_using_the_same	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|393377381|dbj|HV689378.1|_JP_2012046443-A/1:_Anti_NP-289H_antibody_and_immunoassay_using_the_same	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|393377481|dbj|HV689478.1|_JP_2012052916-A/2:_Method_for_determining_whether_aa100_of_Influenza_A_virus_NP_is_Arg_or_not	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|393384352|dbj|HV693168.1|_WO_2012029694-A/2:_Method_for_determining_whether_aa100_of_Influenza_A_virus_NP_is_Arg_or_not	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|227831777|gb|FJ966961.1|_Influenza_A_virus_(A/California/06/2009(H1N1))_segment_5_nucleocapsid_protein_(NP)_gene,_complete_cds	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|229462688|gb|FJ985751.1|_Influenza_A_virus_(A/Castilla-La_Mancha/GP13/2009(H1N1))_segment_5_nucleocapsid_protein_(NP)_gene,_complete_cds	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584757.1	gi|229462700|gb|FJ985756.1|_Influenza_A_virus_(A/Valencia/GP4/2009(H1N1))_segment_5_nucleocapsid_protein_(NP)_gene,_complete_cds	1	1497	1481	100.0	98.9311957247829	1497	0.0
HE584758.1	gi|347298881|emb|HE584750.1|_Influenza_A_virus_(A/swine/Holguin/121/2010(H1N1))_segment_6,_complete_genome	1	1438	1438	100.0	100.0	1438	0.0
HE584758.1	gi|347298899|emb|HE584758.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_6,_complete_genome	1	1438	1438	100.0	100.0	1438	0.0
HE584758.1	gi|346453276|emb|HE578810.1|_Influenza_A_virus_(A/swine/Villa_Clara/84/2010(H1N1))_NA_gene_for_neuraminidase,_genomic_RNA	1	1438	1437	100.0	99.93045897079277	1438	0.0
HE584758.1	gi|393710883|gb|CY123799.1|_Influenza_A_virus_(A/Singapore/ON2180/2009(H1N1))_neuraminidase_(NA)_gene,_complete_cds	21	1458	1420	100.0	98.74826147426982	1438	0.0
HE584758.1	gi|366826825|gb|CY103908.1|_Influenza_A_virus_(A/Guangdong/5301/2009(H1N1))_neuraminidase_(NA)_gene,_complete_cds	21	1458	1419	100.0	98.67872044506258	1438	0.0
HE584758.1	gi|257786798|gb|GQ866961.1|_Influenza_A_virus_(A/Thailand/CU-H9/2009(H1N1))_segment_6_neuraminidase_(NA)_gene,_complete_cds	13	1450	1419	100.0	98.67872044506258	1438	0.0
HE584758.1	gi|284177587|gb|CY054640.1|_Influenza_A_virus_(A/Russia/12/2009(H1N1))_segment_6_sequence	39	1476	1419	100.0	98.67872044506258	1438	0.0
HE584758.1	gi|294546773|gb|CY060736.1|_Influenza_A_virus_(A/Ontario/35273/2009(H1N1))_segment_6_sequence	21	1458	1419	100.0	98.67872044506258	1438	0.0
HE584758.1	gi|297206435|gb|CY063756.1|_Influenza_A_virus_(A/Singapore/GP3084/2009(H1N1))_segment_6_sequence	21	1458	1419	100.0	98.67872044506258	1438	0.0
HE584758.1	gi|297206449|gb|CY063762.1|_Influenza_A_virus_(A/Singapore/GP3491/2009(H1N1))_segment_6_sequence	21	1458	1419	100.0	98.67872044506258	1438	0.0
HE584759.1	gi|347298901|emb|HE584759.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_7,_complete_genome	1	983	983	100.0	100.0	983	0.0
HE584759.1	gi|343773403|emb|HE582006.1|_Influenza_A_virus_(A/swine/Villa_Clara/84/2010(H1N1))_M1_gene_for_matrix_protein_1_and_M2_gene_for_matrix_protein_2,_genomic_RNA	1	983	979	100.0	99.59308240081384	983	0.0
HE584759.1	gi|347298883|emb|HE584751.1|_Influenza_A_virus_(A/swine/Holguin/121/2010(H1N1))_segment_7,_complete_genome	1	983	978	100.0	99.49135300101729	983	0.0
HE584759.1	gi|237689561|gb|GQ166660.1|_Influenza_A_virus_(A/England/195/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	4	986	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|238505437|gb|GQ214139.1|_Influenza_A_virus_(A/Paris/2590/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	11	993	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|238505553|gb|GQ214145.1|_Influenza_A_virus_(A/Paris/2580/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	11	993	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|238505651|gb|GQ214150.1|_Influenza_A_virus_(A/Paris/2573/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	11	993	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|238505777|gb|GQ214157.1|_Influenza_A_virus_(A/Paris/2592/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	11	993	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|238651153|gb|GQ223446.1|_Influenza_A_virus_(A/GuangzhouSB/01/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	24	1006	974	100.0	99.08443540183113	983	0.0
HE584759.1	gi|239586234|gb|GQ251038.1|_Influenza_A_virus_(A/Italy/05/2009(H1N1))_segment_7_matrix_protein_2_(M2)_and_matrix_protein_1_(M1)_genes,_complete_cds	1	983	974	100.0	99.08443540183113	983	0.0
HE584760.1	gi|347298886|emb|HE584752.1|_Influenza_A_virus_(A/swine/Holguin/121/2010(H1N1))_segment_8,_complete_genome	1	840	840	100.0	100.0	840	0.0
HE584760.1	gi|347298904|emb|HE584760.1|_Influenza_A_virus_(A/swine/La_Habana/130/2010(H1N1))_segment_8,_complete_genome	1	840	840	100.0	100.0	840	0.0
HE584760.1	gi|343773406|emb|HE582007.1|_Influenza_A_virus_(A/swine/Villa_Clara/84/2010(H1N1))_NS1_gene_for_nonstructural_protein_1_and_NS2_gene_for_nonstructural_protein_2,_genomic_RNA	1	840	839	100.0	99.88095238095238	840	0.0
HE584760.1	gi|251748185|gb|GQ351294.1|_Influenza_A_virus_(A/Italy/85/2009(H1N1))_segment_8_nuclear_export_protein_(NEP)_and_nonstructural_protein_1_(NS1)_genes,_complete_cds	2	841	819	100.0	97.5	840	0.0
HE584760.1	gi|254927785|gb|CY043255.1|_Influenza_A_virus_(A/New_York/3545/2009(H1N1))_segment_8,_complete_sequence	3	842	819	100.0	97.5	840	0.0
HE584760.1	gi|262188808|gb|GU136011.1|_Influenza_A_virus_(A/Myanmar/JP90/2009(H1N1))_segment_8_nuclear_export_protein_(NEP)_and_nonstructural_protein_1_(NS1)_genes,_complete_cds	1	840	819	100.0	97.5	840	0.0
HE584760.1	gi|268635576|gb|CY051627.1|_Influenza_A_virus_(A/New_York/4607/2009(H1N1))_segment_8,_complete_sequence	7	846	819	100.0	97.5	840	0.0
HE584760.1	gi|272834203|gb|CY052467.1|_Influenza_A_virus_(A/Texas/45121606/2009(H1N1))_segment_8,_complete_sequence	7	846	819	100.0	97.5	840	0.0
HE584760.1	gi|272866448|gb|CY052723.1|_Influenza_A_virus_(A/Texas/45091402/2009(H1N1))_segment_8,_complete_sequence	7	846	819	100.0	97.5	840	0.0
HE584760.1	gi|272866466|gb|CY052731.1|_Influenza_A_virus_(A/Texas/45091405/2009(H1N1))_segment_8,_complete_sequence	7	846	819	100.0	97.5	840	0.0
